3-12-2016,3-13-2016,H:68,L:41,23,10,NW,15,NW,0.0
3-12-2016,3-14-2016,H:64,L:36,25,24,W,30,W,0.0
3-12-2016,3-15-2016,H:51,L:31,17,27,WNW,35,WNW,0.0
3-13-2016,3-13-2016,H:68,L:41,23,9,N,10,N,0.0
3-13-2016,3-14-2016,H:64,L:35,26,24,W,30,W,0.0
3-13-2016,3-15-2016,H:49,L:29,20,23,WNW,30,WNW,0.0
3-13-2016,3-16-2016,H:49,L:28,18,19,WNW,25,WNW,0.0
3-14-2016,3-14-2016,H:63,L:33,28,24,WSW,30,WSW,0.01
3-14-2016,3-15-2016,H:49,L:31,19,28,WNW,35,WNW,0.0
3-14-2016,3-16-2016,H:51,L:29,21,23,WNW,30,WNW,0.0
3-14-2016,3-17-2016,H:47,L:25,34,9,ENE,10,ENE,0.64
3-15-2016,3-15-2016,H:49,L:31,19,24,WNW,30,WNW,0.0
3-15-2016,3-16-2016,H:49,L:31,22,20,WNW,30,WNW,0.0
3-15-2016,3-17-2016,H:52,L:26,31,12,N,15,N,0.19
3-15-2016,3-18-2016,H:37,L:17,62,11,NE,15,NE,0.45
3-16-2016,3-16-2016,H:50,L:32,22,19,WNW,25,WNW,0.0
3-16-2016,3-17-2016,H:53,L:28,30,16,W,20,W,0.12
3-16-2016,3-18-2016,H:38,L:20,61,9,NE,10,NE,0.17
3-16-2016,3-19-2016,H:47,L:24,46,7,ESE,10,ESE,0.0
3-17-2016,3-17-2016,H:50,L:27,37,11,N,15,N,0.28
3-17-2016,3-18-2016,H:34,L:18,64,9,NE,10,NE,0.17
3-17-2016,3-19-2016,H:42,L:20,52,6,E,10,E,0.0
3-17-2016,3-20-2016,H:60,L:37,39,5,NE,10,NE,0.0
3-18-2016,3-18-2016,H:30,L:16,70,8,NE,10,NE,0.19
3-18-2016,3-19-2016,H:42,L:16,49,6,SSE,10,SSE,0.0
3-18-2016,3-20-2016,H:54,L:36,48,4,SE,5,SE,0.0
3-18-2016,3-21-2016,H:65,L:37,36,14,SW,20,SW,0.0
3-19-2016,3-19-2016,H:38,L:15,56,7,SSE,10,SSE,0.0
3-19-2016,3-20-2016,H:55,L:36,44,4,W,5,W,0.0
3-19-2016,3-21-2016,H:68,L:40,34,12,SW,15,SW,0.0
3-19-2016,3-22-2016,H:63,L:36,28,18,WSW,25,WSW,0.03
3-20-2016,3-20-2016,H:53,L:34,41,3,SE,5,SE,0.0
3-20-2016,3-21-2016,H:70,L:39,31,13,SSW,20,SSW,0.0
3-20-2016,3-22-2016,H:67,L:38,27,19,SW,25,SW,0.0
3-20-2016,3-23-2016,H:48,L:26,35,23,NNW,30,NNW,0.0
3-21-2016,3-21-2016,H:70,L:41,32,14,S,20,S,0.0
